#         eV      barn        eV      barns         eV      barns
# 
 2.462070e+6 3.597170e+0 2.462500e+6 3.571860e+0 2.464200e+6 3.471810e+0
 2.466330e+6 3.348070e+0 2.468460e+6 3.195630e+0 2.470590e+6 3.076680e+0
 2.472730e+6 3.107670e+0 2.474870e+6 2.974590e+0 2.476600e+6 2.998610e+0
 2.477010e+6 3.004300e+0 2.479160e+6 3.085160e+0 2.481310e+6 3.135220e+0
 2.483460e+6 3.229970e+0 2.485300e+6 3.286860e+0 2.485610e+6 3.296440e+0
 2.487230e+6 3.384870e+0 2.488310e+6 3.466640e+0 2.489390e+6 3.530940e+0
 2.490470e+6 3.679750e+0 2.491550e+6 3.913160e+0 2.492630e+6 4.167920e+0
 2.493720e+6 4.318370e+0 2.493900e+6 4.365840e+0 2.494800e+6 4.603220e+0
 2.495880e+6 5.001710e+0 2.496970e+6 5.175540e+0 2.498050e+6 5.384840e+0
 2.499140e+6 5.191950e+0 2.500230e+6 5.119340e+0 2.501310e+6 4.758180e+0
 2.502400e+6 4.391740e+0 2.503490e+6 4.183450e+0 2.504580e+6 3.997360e+0
 2.505940e+6 3.805970e+0 2.506900e+6 3.705300e+0 2.507580e+6 3.633980e+0
 2.509220e+6 3.583450e+0 2.510860e+6 3.511130e+0 2.512500e+6 3.333110e+0
 2.514150e+6 3.270150e+0 2.515790e+6 3.309870e+0 2.517440e+6 3.241930e+0
 2.519090e+6 3.097320e+0 2.520740e+6 3.134290e+0 2.522940e+6 2.998350e+0
 2.525700e+6 3.019680e+0 2.528460e+6 2.976990e+0 2.528600e+6 2.977260e+0
 2.531230e+6 2.982490e+0 2.534000e+6 3.074690e+0 2.536770e+6 2.936950e+0
 2.539550e+6 2.982480e+0 2.542340e+6 2.927230e+0 2.545130e+6 2.957050e+0
 2.547920e+6 3.092590e+0 2.550720e+6 3.020960e+0 2.551400e+6 3.014670e+0
 2.553530e+6 2.994960e+0 2.556330e+6 3.044490e+0 2.559150e+6 3.051580e+0
 2.561960e+6 3.024110e+0 2.564780e+6 3.050130e+0 2.565400e+6 3.050620e+0
 2.567610e+6 3.052350e+0 2.570440e+6 3.160790e+0 2.573280e+6 3.003670e+0
 2.576120e+6 2.963700e+0 2.578400e+6 2.954660e+0 2.578960e+6 2.952440e+0
 2.581810e+6 2.881950e+0 2.584670e+6 2.904110e+0 2.587530e+6 2.898660e+0
 2.590390e+6 2.880460e+0 2.593260e+6 2.946100e+0 2.596140e+6 2.996250e+0
 2.599000e+6 3.103790e+0 2.599020e+6 3.104540e+0 2.601900e+6 3.146420e+0
 2.604210e+6 3.064740e+0 2.605940e+6 2.954320e+0 2.607680e+6 2.869710e+0
 2.609420e+6 2.868030e+0 2.611160e+6 2.808410e+0 2.612900e+6 2.906770e+0
 2.614640e+6 2.762340e+0 2.616390e+6 2.824030e+0 2.618130e+6 2.862610e+0
 2.619880e+6 2.784970e+0 2.621630e+6 2.745670e+0 2.622900e+6 2.737730e+0
 2.623390e+6 2.734660e+0 2.625140e+6 2.763600e+0 2.626900e+6 2.746110e+0
 2.628650e+6 2.651750e+0 2.630410e+6 2.765120e+0 2.632170e+6 2.645230e+0
 2.633400e+6 2.642410e+0 2.633940e+6 2.641170e+0 2.635700e+6 2.631560e+0
 2.637470e+6 2.652050e+0 2.639240e+6 2.638730e+0 2.641000e+6 2.685200e+0
 2.641010e+6 2.685460e+0 2.642780e+6 2.666990e+0 2.644550e+6 2.638260e+0
 2.646330e+6 2.650110e+0 2.648100e+6 2.556140e+0 2.649880e+6 2.613130e+0
 2.651660e+6 2.597060e+0 2.653440e+6 2.640660e+0 2.654930e+6 2.811160e+0
 2.656120e+6 2.773750e+0 2.657310e+6 2.845410e+0 2.658500e+6 3.366950e+0
 2.659700e+6 3.852570e+0 2.660700e+6 4.035850e+0 2.660890e+6 4.070670e+0
 2.662080e+6 4.051070e+0 2.663280e+6 3.365660e+0 2.664480e+6 2.982060e+0
 2.665670e+6 2.788930e+0 2.666870e+6 2.612400e+0 2.668070e+6 2.572850e+0
 2.669270e+6 2.525180e+0 2.670770e+6 2.547180e+0 2.672570e+6 2.505830e+0
 2.672800e+6 2.513140e+0 2.674370e+6 2.563100e+0 2.676180e+6 2.493520e+0
 2.677990e+6 2.497560e+0 2.679600e+6 2.435350e+0 2.679790e+6 2.428010e+0
 2.681610e+6 2.399140e+0 2.683420e+6 2.348730e+0 2.685230e+6 2.362210e+0
 2.687050e+6 2.361610e+0 2.688870e+6 2.448860e+0 2.690690e+6 2.411110e+0
 2.692510e+6 2.523700e+0 2.694330e+6 2.696160e+0 2.696160e+6 2.817710e+0
 2.697990e+6 2.890360e+0 2.699300e+6 2.863760e+0 2.699820e+6 2.853200e+0
 2.701650e+6 2.826420e+0 2.703480e+6 2.757160e+0 2.705310e+6 2.676700e+0
 2.707150e+6 2.617530e+0 2.708990e+6 2.614620e+0 2.710830e+6 2.500930e+0
 2.712670e+6 2.494170e+0 2.713000e+6 2.504180e+0 2.714520e+6 2.550260e+0
 2.716360e+6 2.484690e+0 2.718210e+6 2.496200e+0 2.720060e+6 2.416700e+0
